"Adtran Inc","2017-03-31T00:00:00","ADTN","Adtran Inc"
"Addus Homecare Corpo","2017-03-31T00:00:00","ADUS","Addus Homecare Corpo"
"Adverum Biotechnlgs","2017-03-31T00:00:00","ADVM","Adverum Biotechnlgs"
"Advaxis Inc Cmn Stk","2017-03-31T00:00:00","ADXS","Advaxis Inc Cmn Stk"
"Advaxis Inc Wts","2017-03-31T00:00:00","ADXSW","Advaxis Inc Wts"
"Aegion Corp Cmn Stk","2017-03-31T00:00:00","AEGN","Aegion Corp Cmn Stk"
"Aehr Test Systems","2017-03-31T00:00:00","AEHR","Aehr Test Systems"
"Advanced Energy","2017-03-31T00:00:00","AEIS","Advanced Energy"
"Aethlon Medical Cmn","2017-03-31T00:00:00","AEMD","Aethlon Medical Cmn"
"Aerie Pharmaceutical","2017-03-31T00:00:00","AERI","Aerie Pharmaceutical"
"American Electric Te","2017-03-31T00:00:00","AETI","American Electric Te"
"Addvantage Techs Grp","2017-03-31T00:00:00","AEY","Addvantage Techs Grp"
"Aeterna Zentaris","2017-03-31T00:00:00","AEZS","Aeterna Zentaris"
"Almost Family Inc","2017-03-31T00:00:00","AFAM","Almost Family Inc"
"Atlas Fincl Hld Ord","2017-03-31T00:00:00","AFH","Atlas Fincl Hld Ord"
"Affimed N.V.","2017-03-31T00:00:00","AFMD","Affimed N.V."
"Amtrust Financial","2017-03-31T00:00:00","AFSI","Amtrust Financial"
"Agenus Inc","2017-03-31T00:00:00","AGEN","Agenus Inc"
"Agrofresh Solutions","2017-03-31T00:00:00","AGFS","Agrofresh Solutions"
"Agrofresh Sol Wrrnts","2017-03-31T00:00:00","AGFSW","Agrofresh Sol Wrrnts"
"Argo Group Intl Hlds","2017-03-31T00:00:00","AGII","Argo Group Intl Hlds"
"Argo Grp Itl Snr NTS","2017-03-31T00:00:00","AGIIL","Argo Grp Itl Snr NTS"
"Agios Pharmaceutical","2017-03-31T00:00:00","AGIO","Agios Pharmaceutical"
"Aeglea Biothera Cmn","2017-03-31T00:00:00","AGLE","Aeglea Biothera Cmn"
"American Capital Age","2017-03-31T00:00:00","AGNC","American Capital Age"
"American Cap Agy Cor","2017-03-31T00:00:00","AGNCB","American Cap Agy Cor"
"American Capital Pfd","2017-03-31T00:00:00","AGNCP","American Capital Pfd"
"Wt Brclys Usagg Ndur","2017-03-30T00:00:00","AGND","Wt Brclys Usagg Ndur"
"Agile Therap Cmn Stk","2017-03-31T00:00:00","AGRX","Agile Therap Cmn Stk"
"Applied Genetic Tech","2017-03-31T00:00:00","AGTC","Applied Genetic Tech"
"Agilysys Inc","2017-03-31T00:00:00","AGYS","Agilysys Inc"
"Wt Barc Usagg Zro Dr","2017-03-31T00:00:00","AGZD","Wt Barc Usagg Zro Dr"
"Alliance Holdings Gp","2017-03-31T00:00:00","AHGP","Alliance Holdings Gp"
"Avista Healthcare Public Acquisition Corp. Class","2017-03-29T00:00:00","AHPA","Avista Healthcare Public Acquisition Corp. Class"
"Avista Healthcare Public Acquisition Corp","2017-03-29T00:00:00","AHPAU","Avista Healthcare Public Acquisition Corp"
"Avista Healthcare Public Acquisition Corp. Warra","2017-03-31T00:00:00","AHPAW","Avista Healthcare Public Acquisition Corp. Warra"
"Allied Healthcare","2017-03-30T00:00:00","AHPI","Allied Healthcare"
"Ishares Asia 50 ETF","2017-03-31T00:00:00","AIA","Ishares Asia 50 ETF"
"Altra Indtl Mtn Cmn","2017-03-31T00:00:00","AIMC","Altra Indtl Mtn Cmn"
"Aimmune Therap Cmn","2017-03-31T00:00:00","AIMT","Aimmune Therap Cmn"
"Apollo Investment Co","2017-03-31T00:00:00","AINV","Apollo Investment Co"
"Alliance Hlthcare Cmn","2017-03-31T00:00:00","AIQ","Alliance Hlthcare Cmn"
"Airgain Inc","2017-03-31T00:00:00","AIRG","Airgain Inc"
"Air Methods Cp","2017-03-31T00:00:00","AIRM","Air Methods Cp"
"First Trust Rba Am I","2017-03-31T00:00:00","AIRR","First Trust Rba Am I"
"Air T Inc","2017-03-28T00:00:00","AIRT","Air T Inc"
"Akamai Technologies","2017-03-31T00:00:00","AKAM","Akamai Technologies"
"Achaogen Inc Cmn","2017-03-31T00:00:00","AKAO","Achaogen Inc Cmn"
"Akebia Therapeutics","2017-03-31T00:00:00","AKBA","Akebia Therapeutics"
"Akers Biosciences Cmn","2017-03-31T00:00:00","AKER","Akers Biosciences Cmn"
"Akorn Inc","2017-03-31T00:00:00","AKRX","Akorn Inc"
"Akoustis Technologies Inc","2017-03-31T00:00:00","AKTS","Akoustis Technologies Inc"
"Akari Therapeutics","2017-03-31T00:00:00","AKTX","Akari Therapeutics"
"Albireo Pharma Inc","2017-03-31T00:00:00","ALBO","Albireo Pharma Inc"
"Alico Inc","2017-03-31T00:00:00","ALCO","Alico Inc"
"Alder Biopharma Cmn","2017-03-31T00:00:00","ALDR","Alder Biopharma Cmn"
"Aldeyra Therapeu Cmn","2017-03-31T00:00:00","ALDX","Aldeyra Therapeu Cmn"
"Align Technology I","2017-03-31T00:00:00","ALGN","Align Technology I"
"Allegiant Travel Com","2017-03-31T00:00:00","ALGT","Allegiant Travel Com"
"Alimera Sciences Inc","2017-03-31T00:00:00","ALIM","Alimera Sciences Inc"
"Alj Regional Hold Cmn","2017-03-31T00:00:00","ALJJ","Alj Regional Hold Cmn"
"Alkermes Plc","2017-03-31T00:00:00","ALKS","Alkermes Plc"
"Allot Communications","2017-03-31T00:00:00","ALLT","Allot Communications"
"Alnylam Pharmaceut","2017-03-31T00:00:00","ALNY","Alnylam Pharmaceut"
"Analogic Cp","2017-03-31T00:00:00","ALOG","Analogic Cp"
"Astronova Inc","2017-03-31T00:00:00","ALOT","Astronova Inc"
"Alliqua Biomedical","2017-03-31T00:00:00","ALQA","Alliqua Biomedical"
"Alarm.Com Cmn","2017-03-31T00:00:00","ALRM","Alarm.Com Cmn"
"Alaska Commun Sys","2017-03-31T00:00:00","ALSK","Alaska Commun Sys"
"Global X Sprdv ETF","2017-03-31T00:00:00","ALTY","Global X Sprdv ETF"
"Alexion Pharm Inc","2017-03-31T00:00:00","ALXN","Alexion Pharm Inc"
"Amag Pharmaceuticals","2017-03-31T00:00:00","AMAG","Amag Pharmaceuticals"
"Applied Materials","2017-03-31T00:00:00","AMAT","Applied Materials"
"Ambarella Inc","2017-03-31T00:00:00","AMBA","Ambarella Inc"
"Ambac Financial Grp","2017-03-31T00:00:00","AMBC","Ambac Financial Grp"
"Ambac Financial Grp","2017-03-31T00:00:00","AMBCW","Ambac Financial Grp"
"Airmedia Group Inc","2017-03-31T00:00:00","AMCN","Airmedia Group Inc"
"Amc Networks Cl A","2017-03-31T00:00:00","AMCX","Amc Networks Cl A"
"Adv Micro Devices","2017-03-31T00:00:00","AMD","Adv Micro Devices"
"Amedica Corporation","2017-03-31T00:00:00","AMDA","Amedica Corporation"
"Amedisys Inc","2017-03-31T00:00:00","AMED","Amedisys Inc"
"Amgen","2017-03-31T00:00:00","AMGN","Amgen"
"Amkor Technology","2017-03-31T00:00:00","AMKR","Amkor Technology"
"Alliance Mma Inc","2017-03-31T00:00:00","AMMA","Alliance Mma Inc"
"American Natl Bksh","2017-03-31T00:00:00","AMNB","American Natl Bksh"
"Allied Motion Tech","2017-03-31T00:00:00","AMOT","Allied Motion Tech"
"Amphastar Pharma Cmn","2017-03-31T00:00:00","AMPH","Amphastar Pharma Cmn"
